mode,policy,answered,n,mean_l2_error,median_l2_error,rmse,mean_d_error,median_d_error,mean_trace,mean_logdet,mean_variance_dim_1,mean_variance_dim_2,mean_variance_dim_3,mean_variance_dim_4,mean_variance_dim_5,mean_variance_dim_6,mean_variance_reduction_dim_1,mean_variance_reduction_dim_2,mean_variance_reduction_dim_3,mean_variance_reduction_dim_4,mean_variance_reduction_dim_5,mean_variance_reduction_dim_6,mean_variance_step_reduction_dim_1,mean_variance_step_reduction_dim_2,mean_variance_step_reduction_dim_3,mean_variance_step_reduction_dim_4,mean_variance_step_reduction_dim_5,mean_variance_step_reduction_dim_6
carried,fixed,3,500,2.439696374111077,2.4489327166525006,2.5030036377824865,0.7828354560117645,0.7690515771572265,4.882592174243348,-1.4812734405690735,0.6614937203240469,0.9239237899509648,0.7233572083241412,0.8466654639845932,0.7924047638889704,0.93474722777063,0.3385062796759533,0.07607621004903573,0.2766427916758576,0.1533345360154063,0.20759523611102926,0.06525277222936963,0.1998304840048992,0.0015336658544607188,0.044855318345116225,0.028813073857704253,0.03283360662976284,0.0008640447623531846
carried,fixed,4,500,2.337017594648778,2.307519531935807,2.403557904152875,0.7313039666101038,0.7067111402033651,4.565950671679452,-1.906674053923549,0.6588919860329507,0.8238553942170793,0.7125370580504207,0.6835693988636045,0.7585837703143747,0.9285130642010201,0.3411080139670497,0.17614460578292118,0.2874629419495784,0.3164306011363956,0.2414162296856249,0.0714869357989782,0.002601734291096531,0.10006839573388565,0.010820150273721225,0.16309606512098893,0.033820993574595504,0.006234163569608514
carried,fixed,5,500,2.2949977477351426,2.25643911081845,2.3648163496830503,0.6994148557717087,0.6597679023255643,4.40897645813694,-2.1909398867033425,0.6136640852051497,0.8213532880806991,0.6687596393346588,0.6439877574918974,0.7410423880192002,0.9201693000053349,0.3863359147948506,0.1786467119193014,0.33124036066534035,0.3560122425081032,0.2589576119807996,0.07983069999466581,0.04522790082780054,0.0025021061363800726,0.043777418715761796,0.039581641371707714,0.01754138229517458,0.008343764195687622
carried,fixed,6,500,2.2548383128292433,2.2307990967829117,2.328193421704578,0.6732252739131326,0.6259120721832061,4.274344276386441,-2.4392811822537213,0.556468819899281,0.819513127615249,0.6577927336509348,0.6276041241623986,0.7380833686654505,0.8748821023931288,0.4435311801007188,0.18048687238475117,0.34220726634906545,0.37239587583760214,0.26191663133454957,0.12511789760687086,0.05719526530586913,0.0018401604654497766,0.01096690568372506,0.016383633329498833,0.002959019353749704,0.045287197612204934
carried,fixed,7,500,2.220657121688794,2.2038644293142253,2.296540706756039,0.6483206092332148,0.5898777582822248,4.15362796263394,-2.689126670380919,0.5527007710731869,0.8185305790235176,0.655423118034995,0.608478197928261,0.7010442869019283,0.8174510096720524,0.447299228926813,0.18146942097648264,0.34457688196500486,0.39152180207173914,0.29895571309807184,0.18254899032794802,0.0037680488260929557,0.0009825485917314331,0.0023696156159391966,0.019125926234137145,0.037039081763522705,0.05743109272107735
carried,fixed,8,500,2.1479451837560326,2.1128297550352197,2.22943701241447,0.6159127217847988,0.5468560247006012,3.9113585780257334,-3.0378278483510726,0.5409991379564605,0.8044886376695745,0.6544499488260617,0.6047476576813476,0.6189222034293074,0.687750992462982,0.45900086204353974,0.195511362330426,0.3455500511739375,0.3952523423186522,0.38107779657069335,0.3122490075370176,0.011701633116727153,0.01404194135394319,0.0009731692089328763,0.0037305402469129285,0.08212208347262127,0.12970001720906957
carried,fixed,9,500,2.122833513203307,2.0860166048152284,2.206867768507317,0.600010075925885,0.524229019242755,3.8334597675515005,-3.219720163981326,0.533396287576484,0.767426269766564,0.646306834189222,0.5864645055840294,0.6186016986928031,0.6812641717423982,0.4666037124235161,0.23257373023343625,0.35369316581077737,0.41353549441597093,0.3813983013071971,0.31873582825760094,0.007602850379977037,0.03706236790301033,0.00814311463683991,0.018283152097318695,0.0003205047365038919,0.006486820720583389
carried,fixed,10,500,2.0785321430273536,2.015755761868307,2.165363411943236,0.5806456830424127,0.49644734093198006,3.712165812568694,-3.451851980943714,0.5090039030012744,0.7389728811627229,0.637126152685087,0.5854726429790644,0.5806190513122247,0.6609711814283222,0.4909960969987256,0.2610271188372777,0.36287384731491235,0.4145273570209358,0.419380948687776,0.3390288185716779,0.024392384575209234,0.028453388603841653,0.00918068150413497,0.000991862604964774,0.0379826473805789,0.020292990314076866
carried,fixed,11,500,2.0245210700469793,1.9463362007538159,2.1171084122483004,0.560170306347057,0.4693076112870567,3.579051211461206,-3.7112901496119295,0.5075116227003603,0.7135998390399906,0.5514695121317637,0.5691498897161767,0.5783222015973793,0.6589981462755347,0.4924883772996397,0.28640016096000886,0.448530487868236,0.4308501102838233,0.42167779840262043,0.3410018537244657,0.0014922803009137576,0.0253730421227311,0.08565664055332389,0.016322753262887516,0.0022968497148445656,0.0019730351527873268
carried,fixed,12,500,1.9983073104338387,1.932960158981411,2.0937423284550896,0.5483393818826228,0.4529390402086061,3.507390857144423,-3.8690121016824452,0.5074343310884254,0.6912770712348331,0.5403661469615817,0.5347968420726514,0.5782681726692411,0.6552482931176908,0.49256566891157455,0.3087229287651672,0.45963385303841814,0.4652031579273485,0.4217318273307589,0.3447517068823085,7.729161193516876e-05,0.0223227678051584,0.011103365170182074,0.034353047643525404,5.402892813837279e-05,0.003749853157843499
